source,target,weight
GMEB1,F3,8.735750490003886
YBX1,E2F2,8.691722635860234
MTF1,STK40,8.671440422557453
ENO1,IPP,8.661835097960457
GLIS1,OTUD3,8.655536267428944
JUN,MKNK1,8.637733613068761
JUN,PLEKHM2,8.631272523722522
E2F2,PRDX1,8.625884913404192
FOXJ3,VWA5B1,8.620925947985118
HIVEP3,ADGRL4,8.613570595528314
ENO1,C1orf162,8.58538728966944
GMEB1,SLC66A1,8.581356773450606
JUN,LINC01141,8.575806131402603
YBX1,SLFNL1-AS1,8.573816857482708
JUN,RCAN3AS,8.531257645256902
E2F2,ASB17,8.5291361463361
GMEB1,PTGER3,8.502759478408022
FUBP1,MMEL1,8.487254288188794
HIVEP3,GABRD,8.483749030689971
JUN,USP48,8.482464387076444
JUN,SLC16A1-AS1,8.479683974777908
JUN,PRDM16,8.452011817448502
JUN,ARHGEF10L,8.449856630451105
JUN,LINC02801,8.444090543434593
MTF1,EVI5,8.439852304251387
ENO1,RPL22,8.437955889172722
RUNX3,PAX7,8.434244870570359
RUNX3,C1orf216,8.422053028403488
TFAP2E,PAX7,8.414182752054213
MTF1,COL11A1,8.395532423411044
MTF1,SMAP2,8.388468695646917
ENO1,RPL11,8.380219890953391
JUN,VAV3,8.312905763829965
ENO1,SSU72,8.300226469852985
YBX1,ENO1,8.277090355302658
E2F2,DEPDC1,8.27255076551311
RUNX3,LRRIQ3,8.268831307918086
NFYC,AUNIP,8.238516786515952
FUBP1,SERINC2,8.236856069840712
JUN,CD58,8.234657931905607
ENO1,TEX46,8.226292782877934
MTF1,ZFP69B,8.207127955244482
GMEB1,TMEM269,8.19757056874808
NFYC,CENPS,8.183801785679904
ENO1,NEGR1,8.172177431806428
JUN,LRRC8C,8.163979160717908
ZNF683,BTBD8,8.16332564257212
JUN,GTF2B,8.159431050265525
HIVEP3,SSBP3-AS1,8.156200868405536
FOXJ3,ATP1A1-AS1,8.148286062718409
ID3,ZMYM4-AS1,8.146927748557454
ZNF683,PODN,8.141484942141497
HES4,SPATA6,8.134361114216716
FOXJ3,TAS1R3,8.131451315766721
ENO1,HES4,8.126657738121752
E2F2,LINC01685,8.125739078706843
TFAP2E,ZMYND12,8.12137713631677
HES4,L1TD1,8.105998865903393
FOXJ3,DLGAP3,8.102690938334288
JUN,PINK1,8.101042257550851
ENO1,GNG5,8.089692489716253
JUN,PHC2,8.086805959058914
JUN,LEPR,8.083050908617322
JUN,CASQ2,8.07125832974836
JUN,RSPO1,8.067109492925562
JUN,CLCA1,8.046361003177612
ZNF684,GABRD,8.043298544579635
JUN,LINC01635,8.03895680268907
JUN,TTC39A-AS1,8.021739348183042
E2F2,NUDC,8.013375954665602
NFIA,CSMD2-AS1,8.004748158800698
FOXJ3,SNX7,7.9874597713639215
FOXJ3,LINC01307,7.983219334946044
HES4,TNFRSF8,7.964698392059051
FUBP1,LINC01714,7.911131100132199
JUN,LRRC47,7.86386241740421
JUN,TRIM45,7.8527551561402795
GMEB1,ERRFI1,7.848876553533225
ZNF684,UQCRHL,7.844976460836659
JUN,OLFM3,7.844720294887378
E2F2,SAMD11,7.838248878122261
E2F2,SPSB1,7.835467125577081
NFYC,IL23R,7.83176647962134
JUN,LAMTOR5-AS1,7.8227609375027045
JUN,PPCS,7.820065802951835
RUNX3,TGFBR3,7.819894253897726
E2F2,B4GALT2,7.819838249701449
JUN,GNG12,7.815426543304517
YBX1,ZBTB8A,7.812368159581069
JUN,GNL2,7.799973454721893
MTF1,DPYD-IT1,7.797333916976468
JUN,CAMTA1-DT,7.793556422921888
ENO1,ST6GALNAC5,7.7879050218313965
YBX1,SLC25A34,7.755719675509631
JUN,PADI2,7.739116759892315
NFYC,PLA2G2F,7.716721217695517
TAL1,MEGF6,7.7059029297958
NFYC,LINC01714,7.705322590484378
JUN,SESN2,7.700542248071431
JUN,PKN2,7.698952545339016
JUN,DNAJC16,7.695109665057057
JUN,MIER1,7.690166872103886
MTF1,CD58,7.677396736502123
ENO1,DNAJC8,7.676185480942941
E2F2,CRYZ,7.667268074117238
ENO1,MRPL20,7.665216131324706
NFYC,GBP6,7.664405130937624
TAL1,BEND5,7.627365677592229
JUN,PDE4B,7.608100353158603
JUN,SORT1,7.607612759976788
ENO1,ZNF691,7.606726301072642
JUN,ADGRB2,7.6050082114736615
HIVEP3,TMIGD3,7.593892386635752
JUN,GPR61,7.566015419999742
ID3,OVGP1,7.565849842900866
FOXJ3,KDM4A-AS1,7.5647616973435206
MTF1,FGR,7.556895080968921
ENO1,UQCRH,7.531215117249674
JUN,AKR7A3,7.525144172796799
JUN,LINC02609,7.508111645522168
RUNX3,OLFM3,7.505236022966442
