"","source","target","mor"
"18187","HBP1","MIF",-1
"18188","NR3C1","BGLAP",-1
"18189","BCL11B","CTNNB1",-1
"18190","MYOG","NPPA",1
"18191","MYOG","GATA4",1
"18192","GATA4","MYOG",1
"18193","SOX2","CDX2",1
"18194","CDX2","SOX2",1
"18195","SP1","FTMT",1
"18196","KLF4","GDF15",1
"18197","ESR1","CDH17",1
"18198","ESR1","THOP1",1
"18199","CEBPB","CDH3",1
"18200","ESR1","CDH3",1
"18201","RELA","CCNE1",-1
"18202","SMARCC1","OPRM1",1
"18203","CLOCK","KLF10",1
"18204","NFATC4","LPIN1",1
"18205","SREBF1","PNPLA3",1
"18206","HAND2","SHH",1
"18207","MYC","ID1",1
"18208","ID1","MYC",1
"18209","TP53","YPEL3",1
"18210","ID2","SEMA3F",1
"18211","TCF3","SEMA3F",1
"18212","TCF3","RHOA",1
"18213","RERE","APOB",1
"18214","ZNF331","CCNB1",-1
"18215","ZNF331","CDC25C",-1
"18216","ZNF331","CDK1",-1
"18217","ZNF331","TP53",-1
"18218","BCL11A","HBD",1
"18219","BCL11A","HBE1",-1
"18220","BCL11A","HBG1",-1
"18221","SOX6","HBG1",-1
"18222","EGR1","MMP1",1
"18223","RUNX1","LTB4R",1
"18224","AHR","ABCC4",1
"18225","HMGA2","ACTG2",1
"18226","HMGA2","VIM",1
"18227","HSF1","FAS",1
"18228","CREB1","ARMCX1",1
"18229","DNMT3B","TNFSF10",1
"18230","DNMT1","TNFRSF10B",-1
"18231","DNMT3B","TNFRSF10B",1
"18232","MEF2A","TRIM72",1
"18233","MYOG","TRIM72",1
"18234","SOX4","BAX",-1
"18235","GTF3A","GTF3A",1
"18236","KLF3","CKM",1
"18237","SRF","CKM",1
"18238","HIF1A","CSF3",1
"18239","GATA1","ITGAX",-1
"18240","GATA1","IRF8",1
"18241","TP53","CXCL14",1
"18242","TP53","CCL2",1
"18243","ESR1","PTTG1IP",1
"18244","KDM5A","CD55",1
"18245","KDM5A","FGFR1",1
"18246","KDM5A","HMOX1",1
"18247","KDM5A","ME3",1
"18248","FOXL2","LATS1",1
"18249","STAT1","SKP2",-1
"18250","STAT1","CDKN1B",1
"18251","SP1","GIT1",1
"18252","CXXC1","BDNF",1
"18253","JUN","PI3",1
"18254","MEF2C","BMP2",1
"18255","RFX3","GCK",1
"18256","EGR1","GFAP",1
"18257","RELA","KEAP1",1
"18258","NR1I2","TNF",1
"18259","MSC","IBSP",1
"18260","AR","INSR",1
"18261","SP1","TTF1",1
"18262","TTF1","SP1",1
"18263","ATF4","RUNX2",1
"18264","PPARA","GCLC",1
"18265","PPARA","GLRX",1
"18266","TP63","FLT1",1
"18267","TP73","FLT1",1
"18268","ATF3","ADIPOR2",-1
"18269","ATF5","ATF5",1
"18270","EBF1","ATF5",1
"18271","ZEB1","CDKN2B",-1
"18272","MYCN","SKP2",1
"18273","DDIT3","IL1B",1
"18274","MAFA","IL1B",1
"18275","NFATC2","IL1B",1
"18276","CDX2","MGAM",1
"18277","CREB1","MGAM",1
"18278","HNF1A","MGAM",1
"18279","ZBTB17","EBP",1
"18280","DNMT3A","RARB",1
"18281","DNMT3B","RARB",1
"18282","ETS1","FOXP3",1
"18283","ETS2","FOXP3",1
"18284","UNCX","EGLN1",1
"18285","NFE2L2","GADD45GIP1",1
"18286","NR3C2","DOT1L",1
"18287","HIF1A","NOX4",1
"18288","SP1","NFKB1",1
"18289","NFKB1","SP1",1
"18290","SP1","HSD11B2",1
"18291","RORC","FOXP3",-1
"18292","RORC","IFNG",1
"18293","RORC","IL6",1
"18294","RORC","TNF",1
"18295","ETS1","CCL2",1
"18296","NR3C1","ALOX15B",-1
"18297","PITX2","TBX21",1
"18298","YY1","NOS2",-1
"18299","NFIC","NOS2",1
"18300","DDIT3","BBC3",1
"18301","CLOCK","GYS2",1
"18302","NFIC","VWF",1
"18303","FEZF2","HES5",-1
"18304","FEZF1","NEUROG2",1
"18305","NEUROG2","FEZF1",1
"18306","NEUROG2","FEZF2",1
"18307","NFATC1","VEGFA",1
"18308","AR","SRCAP",1
"18309","ELK3","MMP10",1
"18310","PAX3","BCL2",1
"18311","PAX3","EGFR",1
"18312","SP3","BCL2",1
"18313","SP3","CCND1",1
"18314","SP3","EGFR",1
"18315","SP3","PAX3",1
"18316","SP4","BCL2",1
"18317","SP4","CCND1",1
"18318","SP4","EGFR",1
"18319","IRF1","IL27",1
"18320","IRF8","IL27",1
"18321","STAT3","MIR155HG",-1
"18322","HIF1A","KPNA7",1
"18323","SPI1","KPNA7",1
"18324","FOXO3","FOXP3",1
"18325","CEBPD","CDC27",1
"18326","CEBPD","CCND1",1
"18327","TBX1","FLT4",1
"18328","HIF1A","NEDD9",1
"18329","TP63","NOTCH1",1
"18330","SP3","NOTCH1",1
"18331","JUN","PRKCG",1
"18332","JUN","RAF1",1
"18333","FLI1","INPP5D",1
"18334","EGR1","PGF",1
"18335","EGR1","ALOX5AP",1
"18336","NEUROD1","GDNF",1
"18337","SOX9","PDX1",1
"18338","HIF1A","CCN2",1
"18339","SREBF2","FDPS",1
"18340","AHR","RFC1",1
"18341","NFE2L2","CUL3",1
"18342","NFE2L2","RBX1",1
"18343","NFE2L2","SQSTM1",1
"18344","GFI1","ID2",1
"18345","HOXB13","DISC1",1
"18346","HOXB13","GNA11",1
"18347","HOXB13","SLIT1",1
"18348","TBX18","CDKN2A",1
"18349","TBX18","DISC1",1
"18350","TBX18","GNA11",1
"18351","TBX18","SLIT1",1
"18352","TBX5","DISC1",1
"18353","TBX5","SLIT1",1
"18354","MAX","GPT",1
"18355","MXD1","GPT",1
"18356","MYC","GPT",1
"18357","ARNT","COMMD1",1
"18358","ELF1","ICAM1",1
"18359","ELF1","SPP1",1
"18360","TFAP2A","NRP1",1
"18361","TFAP2A","TNFAIP3",1
"18362","AHR","ABCG2",1
"18363","JUND","SAT1",1
"18364","AR","SAT1",1
"18365","HNF1A","NPC1L1",1
"18366","NFKB2","CXCL13",1
"18367","RELB","CXCL13",1
"18368","FOXC2","CTNND1",1
"18369","USF1","PCK2",-1
"18370","SREBF1","TRIB3",1
"18371","NCOR1","NRIP1",1
"18372","SP3","FOXP3",-1
"18373","RELA","FOXP3",1
"18374","RELA","PRKCG",1
"18375","PITX2","CHEK2",1
"18376","OVOL1","CDH2",1
"18377","NR3C1","SCARB1",-1
"18378","PRDM1","VSX2",1
"18379","VSX2","VSX2",1
"18380","PRDM1","PRPH2",1
"18381","HOXA10","KLF9",-1
"18382","HESX1","CYP26A1",1
"18383","ZFP42","MAP2K3",-1
"18384","FOS","CIITA",1
"18385","NFATC1","CIITA",1
"18386","NCOR1","CDKN1A",1
"18387","NCOR1","TGFBRAP1",1
"18388","PPARA","CDKN1A",1
"18389","PPARA","TGFBRAP1",1
"18390","SPI1","ZNF300",1
"18391","ZNF300","SPI1",1
"18392","SMARCA5","IL2",-1
"18393","SMARCA5","IL3",1
"18394","CREB3","CXCR4",1
"18395","AHR","CAT",1
"18396","AHR","SOD1",1
"18397","AR","ASXL3",1
"18398","EGR1","MAP1LC3A",1
"18399","TBP","ANK1",1
"18400","RELA","BEX2",1
"18401","JUN","BEX2",1
"18402","IRF3","CCL2",1
"18403","IRF3","CCL3",-1
"18404","IRF5","CCL2",1
"18405","IRF5","CCL3",-1
"18406","CREB1","LEP",1
"18407","PPARG","ERP44",1
"18408","ESR1","ADIPOQ",1
"18409","TP53","ADIPOQ",1
"18410","GCM1","ERVFRD-1",1
"18411","GCM1","MFSD2A",1
"18412","GATA3","PTH",1
"18413","GATA3","GCM2",1
"18414","POU5F1","CDX2",-1
"18415","CDX2","POU5F1",-1
"18416","AR","SMARCA4",1
"18417","RORC","IL1R1",1
"18418","RORC","IL23R",1
"18419","RORC","KLRB1",1
"18420","JUN","HMOX1",1
"18421","GATA1","RUNX1T1",1
"18422","ETS1","RUNX1T1",-1
"18423","ZNF667","ZNF667",1
"18424","CREB1","ZNF667",1
"18425","STAT3","TH",1
"18426","APEX1","APOD",1
"18427","GATA1","CDKN1A",1
"18428","JUN","CCND2",1
"18429","JUN","STMN2",1
"18430","SIX1","MYOG",1
"18431","ELF4","PDLIM3",1
"18432","ELF4","SPP1",1
"18433","ELF4","TCIRG1",1
"18434","GATA1","ALAS2",1
"18435","NFE2","ALAS2",1
"18436","TBX1","BMP4",1
"18437","CEBPB","CCNB2",1
"18438","FOXO1","HSPA5",1
"18439","SP1","FSCN1",1
"18440","MYOD1","RANBP17",1
"18441","TFCP2","SLC25A4",1
"18442","YY1","SLC25A4",-1
"18443","POU5F1","PHC1",1
"18444","POU5F1","USP44",1
"18445","EGR2","EGR3",1
"18446","EGR3","EGR2",1
"18447","EGR2","CISH",1
"18448","CEBPB","RETN",1
"18449","ASCL1","KDM6B",1
"18450","HES1","KDM6B",1
"18451","MBD2","KDM6B",1
"18452","ASCL1","ME3",1
"18453","NR1H3","TGIF1",1
"18454","DNMT3B","AKT1",1
"18455","DNMT3B","PIK3C3",1
"18456","CEBPG","ADH1B",1
"18457","CEBPG","ADH4",1
"18458","RARA","SLC34A3",1
"18459","ARNT","CDKN1A",1
"18460","ARID4A","RUNX2",1
"18461","ZNF24","PDGFRB",-1
"18462","SPI1","IL18R1",1
"18463","HR","NOS2",1
"18464","HR","SAMHD1",1
"18465","STAT3","SAMHD1",1
"18466","DDIT3","CDKN1A",1
"18467","TP53","SKP2",1
"18468","TP53","GSK3B",1
"18469","ATF4","MAP1LC3B",1
"18470","ZNF436","RNF114",1
"18471","DDIT3","FLT1",1
"18472","MYCN","PTK2",1
"18473","EGR1","FAP",1
"18474","E2F1","ANGPT2",1
"18475","ERG","GFI1",1
"18476","GATA2","GFI1",1
"18477","MEIS1","GFI1",1
"18478","RUNX1","GFI1",1
"18479","SPI1","GFI1",1
"18480","GFI1","SPI1",-1
"18481","PPARD","PLIN2",1
"18482","NRL","RBP3",-1
"18483","SP1","NEU3",1
"18484","SP3","NEU3",1
"18485","HLF","LMO2",1
"18486","TCF3","LMO2",1
"18487","KLF4","CD86",-1
"18488","KLF4","CXCL10",-1
"18489","KLF4","MSC",-1
"18490","VDR","MED1",1
"18491","MED1","VDR",1
"18492","FOS","AQP5",1
"18493","JUN","AQP5",1
"18494","RELA","AQP5",1
"18495","SATB1","IL5",1
"18496","HBP1","TP63",1
"18497","TP63","HBP1",1
"18498","TBX5","TH",1
"18499","YY1","LEF1",-1
"18500","HIF1A","LGALS1",-1
"18501","STAT1","ESR1",1
"18502","CEBPB","BANP",1
"18503","CEBPB","TRIM35",1
"18504","SOX9","BEST1",1
"18505","SOX10","BEST1",1
"18506","REST","SYN1",-1
"18507","PRDM1","PMAIP1",1
"18508","PRDM1","MKI67",1
"18509","PRDM1","PCNA",-1
"18510","HMGA1","BCL2",1
"18511","HNF4A","SDC2",1
"18512","BATF2","CCNA2",1
"18513","MBD2","PHF8",1
"18514","CREB1","PPP2R2B",1
"18515","SP1","PPP2R2B",1
"18516","TFAP4","PPP2R2B",-1
"18517","NR4A2","RET",1
"18518","FOXA1","MLXIPL",1
"18519","FOXA2","MLXIPL",1
"18520","CREB1","CALCA",1
"18521","CEBPG","CTSL",1
"18522","ETV6","FPGS",-1
"18523","PBX1","FPGS",1
"18524","RUNX1","FPGS",1
"18525","TCF3","FPGS",1
"18526","ESR1","NELL2",1
"18527","ESR2","NELL2",1
"18528","SP1","TESC",1
"18529","SP3","TESC",1
"18530","ZBTB14","TESC",1
"18531","TP53","TRIM3",1
"18532","TP53","DHRS3",1
"18533","TP63","DHRS3",1
"18534","WT1","HTRA2",1
"18535","IRF1","UPP1",1
"18536","STAT1","UPP1",1
"18537","BCL11B","BTK",1
"18538","TP53","ATXN7",1
"18539","HIF1A","CITED1",1
"18540","HIF1A","GC",1
"18541","STAT5A","CD24",1
"18542","MYB","MDM2",1
"18543","RELA","GFI1",1
"18544","GFI1","RELA",1
"18545","GFI1","TNF",1
"18546","ZNF423","HES5",1
"18547","NKX2-5","JARID2",1
"18548","SPDEF","MMP9",-1
"18549","MITF","DICER1",1
"18550","MYC","TRPC4AP",1
"18551","NRL","PIAS3",1
"18552","JUNB","MYL9",1
"18553","PPARG","IL10",1
"18554","KLF6","FSHB",1
"18555","NONO","TOP2B",1
"18556","SFPQ","TOP2B",1
"18557","TP53","PTN",1
"18558","KLF9","FGFR1",1
"18559","EGR1","DEFB4B",1
"18560","EGR2","DEFB4B",1
"18561","PAX6","CDH2",1
"18562","GCM2","PTH",1
"18563","PROX1","GHRHR",1
"18564","PPARG","SLC22A5",1
"18565","NR4A3","ICAM1",1
"18566","NKX3-1","TRIM17",1
"18567","NKX2-5","DKK1",1
"18568","NKX2-5","MYH16",1
"18569","ESRRA","CYCS",1
"18570","VSX2","HLA-DQB1",1
"18571","GLI3","HLA-DRB1",1
"18572","SNAI1","KDM1A",1
"18573","ERG","CXCR4",1
"18574","MYC","LIN28A",1
"18575","ATF4","DDR2",1
"18576","CEBPB","DDR2",1
"18577","CEBPG","DDR2",1
"18578","SNAI2","CCND1",-1
"18579","HOXA10","CBX2",1
"18580","EZH2","HOXA10",-1
"18581","ID1","PDLIM7",1
"18582","ESR2","WNT2",1
"18583","HSF1","CDKN1B",1
"18584","JUN","HSPA4",1
"18585","KLF15","MYOCD",1
"18586","IKZF1","MYC",-1
"18587","IKZF3","MYC",-1
"18588","GTF2I","AKAP12",1
"18589","GTF2I","SRC",1
"18590","HNF1A","CDH17",1
"18591","NCOR1","KLK3",1
"18592","NCOR2","KLK3",1
"18593","TP53","FMO3",1
"18594","SOX9","CCN2",-1
"18595","HNF4A","CCN2",1
"18596","ATF2","SULT4A1",1
"18597","CREB1","SULT4A1",1
"18598","MYC","RBFOX2",1
"18599","JUN","RBFOX2",1
"18600","MYC","MAPK8",1
"18601","E2F2","AHR",1
"18602","E2F2","ARNT",1
"18603","EOMES","NES",1
"18604","FOXA2","ABCC2",1
"18605","FOXA2","GCK",1
"18606","HNF1A","SLCO1A2",1
"18607","NFKB1","MMP13",1
"18608","TFAP4","PIN1",1
"18609","KLF7","NGF",1
"18610","MAFB","IFNB1",1
"18611","SRF","IVL",1
"18612","KAT6A","CD34",1
"18613","KAT6A","KMT2A",1
"18614","KMT2A","CD34",1
"18615","CEBPG","ATF3",1
"18616","HBP1","CDKN2A",1
"18617","CEBPB","IGFBP5",1
"18618","CEBPG","IGFBP5",1
"18619","SPI1","CXCL9",1
"18620","STAT5B","BCL2L1",1
"18621","SP1","ACVRL1",1
"18622","AR","ERBB3",1
"18623","CREB1","NRF1",1
"18624","RELA","NRF1",1
"18625","TP53","EHMT1",1
"18626","PPARG","RUNX2",-1
"18627","RORA","WNT2",1
"18628","SP1","KCTD11",1
"18629","MAFB","PKD2",1
"18630","PPARD","CXCL8",1
"18631","L3MBTL1","CCNE1",1
"18632","TP53","MAP2",1
"18633","NR2E1","DCX",1
"18634","TP53","ANKRD1",1
"18635","NRF1","ACACA",1
"18636","NRF1","ACACB",-1
"18637","NRF1","PRKAA1",1
"18638","ZFHX3","ZFHX3",1
"18639","NSD2","NSD3",1
"18640","LEF1","ENAM",1
"18641","LHX2","ROBO3",1
"18642","HIF1A","PPFIA4",1
"18643","MTF1","INS",1
"18644","TP53","ABCG2",-1
"18645","ELF1","MEIS1",1
"18646","ATF3","STAT1",1
"18647","IKZF2","INPP5D",1
"18648","IKZF1","INPP5D",1
"18649","STAT3","DDAH1",1
"18650","MYB","RPL4",1
"18651","GTF3A","NPPB",1
"18652","SP1","FHL2",1
"18653","JUN","TP63",1
"18654","MYT1","MBP",1
"18655","MYT1","OPALIN",1
"18656","ID2","NOTCH1",1
"18657","NFIA","HES1",-1
"18658","TP53","RB1CC1",1
"18659","NR1H3","MLXIPL",1
"18660","TBR1","AUTS2",1
"18661","TEF","CXCL8",1
"18662","YBX3","F11R",1
"18663","YBX3","NEK1",1
"18664","HSF4","HSPB1",1
"18665","HNF4A","C1QTNF5",1
"18666","PPARG","NOX4",1
"18667","PITX2","PKD2",1
"18668","PITX2","G6PC2",1
"18669","HSF1","CDKN1A",-1
"18670","EZH2","SLIT2",1
"18671","ESR1","NQO1",-1
"18672","CEBPA","CYP2B6",1
"18673","DNMT1","SFN",1
"18674","DNMT3A","SFN",1
"18675","DNMT3A","TERT",1
"18676","FOS","CCN1",1
"18677","CEBPB","CPT1A",1
"18678","FOXA2","CD320",1
"18679","MZF1","CD320",1
"18680","RREB1","CD320",1
"18681","FOXA1","UGT2B17",1
"18682","NFE2L2","NOTCH1",1
"18683","ATF4","TNFRSF11A",1
"18684","KLF2","EDN1",-1
"18685","KLF2","MAPK7",1
"18686","TFAP2C","GREB1",1
"18687","SPI1","DUSP7",1
"18688","BCL6","RGS4",1
"18689","NFYA","RGS4",1
"18690","CEBPB","RGS4",1
"18691","BCL6","CASP1",1
"18692","NFYA","CASP1",1
"18693","TBP","CYP1B1",1
"18694","TBP","KAT2B",1
"18695","MYC","TFRC",1
"18696","NR3C1","EPO",1
"18697","IRF1","TRIM22",1
"18698","SMAD7","VEGFA",-1
"18699","EGR1","CASP1",-1
"18700","EGR1","IGFBP6",1
"18701","YBX3","HBG2",-1
"18702","CEBPB","ACACA",1
"18703","CEBPB","RICTOR",1
"18704","XBP1","NOS2",1
"18705","ELK4","FOS",1
"18706","JUN","FBXW7",1
"18707","JUN","PRKN",-1
"18708","KLF5","ABCG2",-1
"18709","REL","IL21",1
"18710","NFAT5","AQP1",1
"18711","STAT5B","EGFR",1
"18712","MYC","MIR17HG",1
"18713","PREB","ABCA1",1
"18714","SP1","SOCS1",1
"18715","GFI1","SOCS1",1
"18716","EPAS1","CSF1R",1
"18717","EPAS1","IL18R1",1
"18718","MBD2","FGFR1",1
"18719","MBD2","ME3",1
"18720","NFATC3","EDN1",1
"18721","GLI1","CDK2",1
"18722","MBD2","RBL2",1
"18723","FOXL2","MC2R",1
"18724","NR5A1","FOXL2",1
"18725","STAT6","ITGA2B",1
"18726","DDIT3","ATF5",-1
"18727","ATF5","DDIT3",1
"18728","FOXO3","TXNIP",1
"18729","SMAD2","IL6R",1
"18730","BMAL1","VWF",-1
"18731","CLOCK","VWF",1
"18732","TFAP2B","CD36",1
"18733","TFAP2A","CD36",1
"18734","TFAP2B","TFAP2A",1
"18735","CUX1","LINGO1",1
"18736","POU2F1","PRL",1
"18737","XBP1","IFNB1",-1
"18738","NR4A1","BIRC5",-1
"18739","PPARG","SIRT1",-1
"18740","SIRT1","PPARG",-1
"18741","HNF4A","APOM",1
"18742","YY1","VEGFA",1
"18743","ZNF217","ERBB3",1
"18744","CEBPE","PIK3CG",1
"18745","TP63","ATM",1
"18746","KLF15","CMKLR1",1
"18747","PPARA","CMKLR1",1
"18748","TP53","DDX17",1
"18749","YY1","CNMD",-1
"18750","E2F1","TAPBP",-1
"18751","ESR2","BCL2",1
"18752","NCOA2","BCL2",1
"18753","YY1","ADORA2A",1
"18754","MBD2","NOG",1
"18755","SMAD1","NOG",1
"18756","SMAD4","NOG",1
"18757","FOXJ1","SPAG6",1
"18758","SOX5","SPAG6",1
"18759","PAX5","SLC9A8",1
"18760","EGR1","TNFSF11",1
"18761","TP53","HNRNPK",1
"18762","IRF4","IL9",1
"18763","THAP9","IL9",1
"18764","ESR1","CYP2C19",-1
"18765","ZIC2","SLC6A4",1
"18766","KLF1","BCL11A",1
"18767","ERG","LMO2",1
"18768","LMO2","ERG",1
"18769","LMO2","FLI1",1
"18770","FLI1","LMO2",1
"18771","IRF8","GAS2",-1
"18772","ETV6","GAS2",-1
"18773","TFCP2","PIN1",1
"18774","SP1","IBSP",1
"18775","SP7","IBSP",1
"18776","SMARCA1","IBSP",1
"18777","SP7","MAPK1",1
"18778","ID1","CDK6",1
"18779","MITF","CDK6",1
"18780","MYC","CDK6",1
"18781","STAT5B","CDK6",1
"18782","ZNF382","CDK6",-1
"18783","MTA1","WNT1",1
"18784","PAX3","KCNN3",1
"18785","SP3","KCNN3",-1
"18786","PRRX1","SP7",-1
"18787","ZXDC","CDKN1C",1
"18788","ZXDC","IL5",1
"18789","HNF4A","AGT",1
"18790","NFIB","TSHB",1
"18791","MYB","KLF1",1
"18792","MYB","LMO2",1
"18793","KMT2A","TERT",1
"18794","SP1","MS4A1",1
"18795","STAT3","ROR1",1
"18796","RORA","ROR1",1
"18797","RORA","IL6",1
"18798","POU3F1","IL6",1
"18799","STAT1","TYK2",1
"18800","STAT1","POU3F1",1
"18801","SP1","SPARC",1
"18802","RELA","ADAM12",1
"18803","NR0B2","CRTC2",1
"18804","MTF1","SLC40A1",1
"18805","USF1","TAC1",1
"18806","CEBPB","EGF",1
"18807","CEBPB","GJA1",1
"18808","NFE2L2","CRBN",1
"18809","FOXA2","GATA4",1
"18810","ELF4","AGTR2",1
"18811","CREB1","LPL",1
"18812","FOXN1","CHD4",1
"18813","ATF3","ADIPOR1",-1
"18814","SPI1","SLC6A7",1
"18815","JUN","CCN2",-1
"18816","TP53","CCN2",1
"18817","MYC","CCNG2",1
"18818","MYC","WIF1",1
"18819","ZBTB17","WIF1",1
"18820","CDX2","ABCB1",1
"18821","TFCP2","H1-2",1
"18822","NFKB1","UACA",1
"18823","MTA1","MYD88",1
"18824","MTA1","CXCL2",1
"18825","MTA1","IL1B",1
"18826","MTA1","TNF",1
"18827","RELA","MYD88",1
"18828","MTA1","MTA1",1
"18829","DNMT1","FSHB",1
"18830","DNMT1","LHB",1
"18831","ISL1","FSHB",1
"18832","ISL1","LHB",1
"18833","STAT5B","SERPINA3",1
"18834","STAT5B","SOCS2",1
"18835","ATF2","DUSP1",1
"18836","JUN","DUSP1",1
"18837","PITX2","S1PR1",1
"18838","TBX1","ARRB2",1
"18839","KLF11","UCP1",1
"18840","KLF15","TYRP1",1
"18841","KLF15","UCP1",1
"18842","KLF4","MFN2",1
"18843","E2F4","ZNF350",1
"18844","E2F6","ZNF350",1
"18845","TFE3","COL1A2",1
"18846","TFE3","TGFB1",1
"18847","TSC22D1","COL1A2",1
"18848","HOXB7","KDM1A",1
"18849","HOXD8","KDM1A",1
"18850","RARG","KDM1A",1
"18851","FOXP1","FGF16",1
"18852","FOXP1","FGF17",1
"18853","FOXP1","FGF20",1
"18854","FOXP1","FGF3",1
"18855","FOXP1","NKX2-5",1
"18856","E2F4","PPARGC1A",-1
"18857","EPAS1","EIF3E",1
"18858","MBD2","KRT27",1
"18859","FOXN1","CDH1",1
"18860","LHX2","CDH1",1
"18861","MTA2","CDH1",-1
"18862","UTF1","CA9",1
"18863","EGR1","MYH6",1
"18864","MYC","ERBB2",-1
"18865","KLF4","SCARB1",1
"18866","MAFA","CRYAA",1
"18867","ESR1","ZFHX3",1
"18868","ZFHX3","ESR1",1
"18869","JUN","MBP",-1
"18870","RELA","RAPSN",1
"18871","HR","RAPSN",1
"18872","CXXC1","PPP1CC",1
"18873","TFCP2","PPP1CC",1
"18874","HAND2","FN1",1
"18875","NRF1","SLC46A1",1
"18876","RARA","OLFM4",1
"18877","KLF4","CDH5",1
"18878","KLF9","PPARG",1
"18879","GATA3","FGF4",1
"18880","MSC","TRIP10",1
"18881","ELK1","SERPINE1",1
"18882","SREBF2","PON1",1
"18883","TP63","YAP1",-1
"18884","RARB","TRIM16",1
"18885","ZBTB16","AGTR2",1
"18886","LMO2","ZEB1",-1
"18887","SMAD3","SLC5A8",1
"18888","CTCF","BCL6",-1
"18889","MYBL2","CDKN2A",1
"18890","HNF4A","TTR",1
"18891","FOXM1","TTR",1
"18892","HNF1A","TTR",1
"18893","FOXA2","TTR",1
"18894","NR1I2","HGF",1
"18895","FOXA1","UGT2B15",1
"18896","STAT5A","RHOH",1
"18897","AR","NRP1",1
"18898","SP1","SMAD3",1
"18899","CREB1","GAD2",1
"18900","NFX1","NFKB1",1
"18901","GATA4","IGFBP5",1
"18902","TFCP2","TF",1
"18903","TFCP2","APP",1
"18904","CEBPB","PRKAA1",1
"18905","NR2F1","LHB",1
"18906","NR2F2","LHB",1
"18907","ZNF513","ARR3",1
"18908","SSRP1","CCND1",1
"18909","SNAI2","L1CAM",1
"18910","TSC22D1","CNP",1
"18911","SOX17","LEF1",-1
"18912","EGR3","CSF2",1
"18913","KAT5","CSF2",1
"18914","HR","RAD51",1
"18915","JDP2","CCNA2",-1
"18916","SMAD1","ACTA2",1
"18917","TCF7L2","ACVRL1",1
"18918","SMAD1","TCF7L2",1
"18919","TCF7L2","SMAD1",1
"18920","HNF4A","ASAH2",1
"18921","JUN","SLC6A6",1
"18922","TP53","MFN2",1
"18923","E2F1","ELF4",1
"18924","TP53","ELF4",-1
"18925","ELF4","TP53",-1
"18926","TP53","MEFV",1
"18927","ELF4","MEFV",1
"18928","YY1","COX7C",1
"18929","CREB1","TFAP2A",-1
"18930","E2F1","TFAP2A",-1
"18931","NFE2L2","CBR3",1
"18932","LEF1","POU1F1",-1
"18933","ZEB1","TP73",-1
"18934","ERG","EGFL7",1
"18935","GATA2","EGFL7",1
"18936","ZNF277","BMI1",1
"18937","ZNF277","CDKN2A",1
"18938","MEIS1","KRT19",1
"18939","MEIS2","KRT19",1
"18940","TFAP2A","FXN",1
"18941","SRF","FXN",1
"18942","EGR3","FXN",1
"18943","HNF1A","CLCN5",1
"18944","WT1","CDH5",1
"18945","ZNF699","CDK2",1
"18946","JUN","OGA",1
"18947","KAT7","MAPK8",1
"18948","AR","PRKD3",1
"18949","STAT3","RELA",1
"18950","RELA","STAT3",1
"18951","FOXO3","SIRT6",1
"18952","NRF1","SIRT1",1
"18953","NRF1","SIRT6",1
"18954","SP7","SOST",1
"18955","PITX2","CDKN1A",1
"18956","TBX1","CDKN1A",-1
"18957","XBP1","BHLHA15",1
"18958","CEBPA","FOLR1",1
"18959","AR","FOLR1",1
"18960","HSF1","INS",1
"18961","NR1D1","NPAS2",-1
"18962","RORA","NPAS2",1
"18963","DNMT1","PHEX",1
"18964","RELA","PHEX",1
"18965","TGFB1I1","MYC",1
"18966","TGFB1I1","TGFB1",1
"18967","DLX4","BRCA1",-1
"18968","PAX7","FSD1",1
"18969","FOXA2","SNAI2",-1
"18970","TFCP2","PRL",1
"18971","TFCP2","TSHB",1
"18972","THRB","THRSP",1
"18973","PITX2","TNFAIP3",1
"18974","SNAI1","ERCC1",1
"18975","AHR","CYP19A1",1
"18976","GATA6","PDGFRA",1
"18977","ETV4","SHH",-1
"18978","ETV5","SHH",-1
"18979","TWIST1","SHH",-1
"18980","NR1H3","SLCO1B1",1
"18981","NR1H4","SLCO1B1",1
"18982","ATF3","AQP1",1
"18983","DDIT3","PPARG",-1
"18984","PPARG","DDIT3",1
"18985","CEBPB","TLR8",1
"18986","CEBPD","TLR8",1
"18987","STAT1","TLR8",1
"18988","HNF1A","SLC22A9",1
"18989","HNF1A","SLC22A24",1
"18990","HNF1A","OAT",1
"18991","NR4A2","DUSP1",1
"18992","CTNNB1","STAT3",1
"18993","STAT3","CTNNB1",1
"18994","ID3","GAST",1
"18995","PTF1A","GAST",1
"18996","ELF5","CCND2",-1
"18997","NFATC1","ACP5",1
"18998","TP53","PANK1",1
"18999","STAT1","CXCL10",1
"19000","TCF12","KRT9",1
"19001","TCF12","MYH6",1
"19002","TCF12","MYH7",1
"19003","TCF12","PTPN6",1
"19004","NFATC2","HSF1",1
"19005","PRDM16","HGF",1
"19006","NKX2-5","KAT2A",1
"19007","NR1H3","LPCAT3",1
"19008","FOXM1","CCR2",1
"19009","EZH2","TNFSF10",1
"19010","CREBZF","TSHB",1
"19011","NR1H2","ERCC2",1
"19012","WT1","S100A10",1
"19013","WT1","SMAD3",1
"19014","CUX1","CYP7A1",1
"19015","ETS1","NKX3-1",1
"19016","TP53","C10orf90",1
"19017","HOXD10","ROCK2",1
"19018","DLX5","DSPP",1
"19019","MSX2","DSPP",-1
"19020","THRB","CTNNB1",-1
