"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","WNT","p53"
"SAM5b57e47fdcb3",-0.249091096095955,-1.36037150197807,-0.423114745196884,-1.84126473445166,-0.237181555328828,0.970894710668328,-0.606494053060599,-0.248320315033822,-0.908100518035945,-0.69382861895005,-0.435319540855093,0.536522047724659,1.66305155229841,-0.821264942884594
"SAMae4da274eded",-0.227923207137565,0.231494525869315,-0.478993674697944,-0.615217367487593,0.597287864297909,-0.700385590968243,-0.69891575557687,-0.555018490209551,-0.668319100969672,0.530736889702997,0.480702937404154,0.529278639343917,-0.523635670509396,-0.263627435633128
"SAMd35318127278",-0.275825239610198,-0.573595710336463,0.0333829180522941,-2.11563428833704,-0.0162622778038208,1.57078937210216,0.379937112081854,0.466950153111477,-1.84433685434664,-1.86178662821884,-0.325216435301213,1.01811040788382,0.681369451846561,-0.300493107693251
"SAM75142fcab9df",0.999245271877093,-0.448195398546443,-0.390850825601807,-0.832133930668141,-0.0183459530988187,-1.27836163805212,0.136961459871853,-0.194314258118883,-0.0475963831603384,0.507432358123849,1.00256846612628,-1.62756897764264,0.505966674945801,0.579829349063581
"SAM166a419a4e5a",1.15024823555466,0.838606578408807,0.991617649004734,0.114073494298747,-0.398384415756027,-1.29648193723409,1.10230733353212,0.822988162277278,1.18898482613545,0.546520874271016,0.704960713952021,-1.54889434659703,0.358959239619493,1.13020487614129
"SAM025b45c27e05",0.985869875098223,0.222525498158425,0.419656677767159,0.490574870297055,-0.750956790214767,-0.425280872848266,-0.656956530523878,-0.0506336194892296,1.76887952475787,1.06811767742621,-0.233506973231362,-0.665918455698671,0.68258452764904,0.605032478275232
"SAMe07c4560772d",-1.36280670043816,-0.920623910409412,0.0394134012779813,-0.394696356192442,-1.98819418335638,1.66225321441935,-1.45535008665194,0.300501724993093,-1.44110116016767,-1.49690884092531,-2.15079404061367,1.24885998276953,-0.234696735883629,-0.813524843892355
"SAM560f23d6a3ad",0.255360356464022,0.483030793733885,1.05769018610089,-0.156069574990241,1.07219222131003,-0.136769002011898,1.99509124796751,0.749019071016412,-1.33984685755032,0.317916468486849,1.51731536770628,0.81859292590778,-0.792106845353945,-1.08943063971543
"SAMf3a9bce50099",0.0331949424327603,0.865299869202399,-1.03435544271552,-0.456502949205881,-0.106168989644188,-1.21701139531494,0.654054095472939,-0.264849334175921,0.919373369182107,-0.744272438397059,0.223549418297629,-0.497586472297775,-0.0848571350503867,0.346396558144751
"SAMdab9ca8fb5de",0.965552693842141,-0.195230875996409,-0.297843141678883,-0.0267869043848798,-0.659657249201485,-0.953434689599758,0.0238168213793978,-0.739901486331096,0.393794443091281,-0.122526736074549,0.465085521275949,-1.80345915284804,0.77055282492273,0.504895364903406
"SAM34430ef08e5b",1.13338786635589,-0.107846413929283,1.02619271944457,-0.691279437665774,-0.126023109625944,1.2914323054791,1.47690540207359,1.00251742791453,0.170432927213764,0.154824219388552,1.16973860973399,-0.677382087045671,1.37509870754849,-0.508164857281146
