"","SAMd027124354ce","SAMbf1a3ae828e6","SAM2e9ac0b1b250","SAM30b5c6c54cf7","SAMd35318127278","SAM560f23d6a3ad","SAM73663ee4a96e","SAMc2a1820d4e6b","SAMe1eb5d988760","SAM8a1b0e02ee42","SAMd7d57ee3a863","SAM065890737112","SAMb470eb8f04be","SAM203dcf14f927","SAMd3bd67996035","SAMd3601288319e","SAM670649e105b5","SAM3b15b4c6311d","SAMeaa477a5384b","SAM25510f300d79","SAM771445e92421","SAM6f2a102a99df","SAM6ff654a20f98","SAM31d9176e11fb","SAM572f19794c96"
"ASCL2",0.30400527112581,-0.110990795757033,-0.612407574445057,-0.860453604394189,-0.834230937736657,-0.754004336950422,-0.0454046364680484,0.371962058097116,-0.319846062564344,0.295324251586567,-0.214780507236373,-0.943185866291396,-0.348414854682166,-0.973174592787231,-0.123698872285814,-0.39001997431026,-0.309794596864856,-0.0567256140440392,-0.584050235023729,-0.545535747987729,0.176647738466738,-0.152463089654521,0.0785678120121664,-0.812139009461597,-0.813409437671023
"ASXL1",-0.0245906931304007,0.277544058215766,-0.763409322073882,0.0562501009333215,-0.162045575167321,-0.208339915214533,-0.68555948009269,-0.365223317150132,-0.465113714681303,-0.0674714321943749,0.615808024610334,-0.112856028399127,0.862097360687156,0.239008326137834,-0.0343374849108859,0.290471798017611,-0.402754374161366,0.388405186770403,-0.751078328324479,0.11622064719038,0.264580367737457,-0.140923233847427,-0.011491194837618,-0.909513122352533,-0.0209127848672565
"ATF1",2.68603243533744,2.62005056029685,2.67499531737903,2.60761303405931,2.65993197492026,3.36630099903504,2.48017791545528,2.5296448100291,2.4150520270929,2.1152612963308,2.69336519613378,1.71750058384936,2.50362395955191,2.24083950270693,2.83526931026529,2.21284388111136,2.74517014827267,2.68225403692068,2.13422865338377,2.12007618916382,3.03406455370637,2.7611132694146,2.62163749785578,2.45089515691302,2.97648695091023
"ATF2",0.343370655545001,0.757747007112172,1.22518714751767,0.866381114355344,0.566746986793346,0.918327800446082,0.728364443564374,1.33184828052232,1.24976667093905,-0.338355489989538,1.6258998039065,0.450564292454043,1.07695569548905,0.644148210310047,0.755317779593115,1.29927638642023,1.66921888134802,0.888009746098836,0.152500889749611,0.384261152377087,1.46320850767645,0.750474001410956,0.538957977190153,0.76199999190962,1.29083695730919
"ATF3",1.38259972117949,1.03305838370099,0.926906817529638,0.805650924498954,0.0433687956057385,1.10125742445243,0.754054397093345,0.724306913430304,0.715551188423498,0.52727152333211,1.15687108835336,0.0841780491015875,-0.101862740914934,0.483109545111112,0.640934680496282,0.866393907877474,0.89703086763471,0.778406155514718,0.382574806211751,1.29337410475439,0.899083137579842,1.36674523567326,0.494198095389255,0.646476452493809,1.15974165745456
"ATF4",0.922188232800409,0.74558972099943,0.639529976289665,0.49659110018409,1.00451598698076,0.996870759712817,1.04780361642759,0.634017169084942,0.707031479924572,0.0342931838435016,0.71765613069992,1.1563859509941,0.659194170921794,1.11080776484385,1.17217737434381,0.94500982443664,1.50503850796967,0.881627100386832,0.7641756904885,1.45216696913312,0.986000113371186,1.03086683476884,0.756324416128554,0.920404649882943,2.16005696071643
"ATF5",1.14078011545843,1.21697040753947,1.96596290660233,1.37978385985538,1.13407687848599,1.79499273144769,0.952635868322453,1.2607993967429,0.786932459810795,1.0842303839185,1.77522918144296,1.23317778648228,1.35197571795042,1.57596755210019,1.5960560760002,0.964663385483424,1.71594955482191,1.33604079405084,1.55889156301779,1.3164326037803,0.939652328797926,1.42368920415614,0.967976390669912,1.2285763959806,1.98232723735966
"ATF6",2.68782336639325,2.43728375501954,3.35206352806358,2.40194969944265,3.2062633200572,3.91722395454612,2.69068158384349,2.57492515150045,2.32947714637047,2.58883607292959,2.72328925123613,3.2682752491974,2.69018903805099,2.64986606701459,3.26356548041384,3.02173438399937,2.71607833901949,2.02722006797492,2.04236584278406,3.16490028505486,2.34434673617972,3.17493243742597,2.63943225298063,2.39336640801258,2.97186110015156
"ATF7",-1.11647738141868,-0.656402607833177,-1.05119722494263,-0.957505957168701,-0.837814825565001,-0.952742644868206,-0.786339082210409,-0.697960862184976,-0.786227960230117,-1.14535472906923,-0.666537547506394,-0.834692088541849,-0.70823028858907,-0.38022147096949,-0.37399932981796,-0.35106086405101,-0.834117320197412,-0.973443921235799,-0.812218592981861,-0.794422054636824,-0.48537959254441,-0.775215621968381,-0.479198651420303,-0.844118361945939,-0.904874266327794
"ATOH1",-4.45022535958149,-4.78831894384922,-4.53087969198251,-3.96992006834439,-3.53679964989195,-3.22550361408255,-4.31778059945511,-4.66437563311842,-5.17747930727836,-4.16222377421602,-3.94728631685212,-4.51285025159957,-3.36931730048401,-4.63202585277975,-4.30302184874339,-4.15691881579162,-4.3153165218741,-4.33187585960965,-4.60196836518495,-4.25992314901465,-4.16033705873574,-4.90937548121213,-4.14315308519538,-4.33134444958975,-4.17238157267031
"ATOH7",-3.67796704325509,-3.07361587980219,-3.34918891566424,-2.74479814558132,-3.30122195735249,-3.23341280712243,-3.59973856845927,-3.45868342366373,-3.14164682986905,-2.98952897321244,-3.48842241988351,-3.17390302094588,-3.48379251429598,-3.53090274427327,-3.37799798213055,-2.9990678883602,-3.36784974936634,-3.43098737236087,-2.90429168018537,-3.3170788220657,-3.36342269901484,-3.24031080045398,-3.49702415276284,-3.11257726333611,-3.39424862250786
"BACH1",2.1316181284852,1.31720271830251,1.05558988982888,0.869389748706441,0.952517055895585,1.7602096709834,0.686723266712376,0.887960792064195,1.13647845177335,0.940503588950031,1.51481533724347,0.958885562808015,1.08217845906426,0.945839267211632,0.804948731247997,0.96376406808539,1.44076526410626,1.69860616712418,0.823859653526684,1.23624888178018,1.04698734159136,1.45600093004526,1.03992058483393,1.1997424016716,1.1717889328219
"BACH2",-3.04729121381215,-2.15313598072184,-2.23182984738963,-1.81201460012143,-1.6986298568463,-3.65554765232002,-2.08709232188916,-1.99404132393853,-1.95505179296736,-1.68685028980507,-1.63154442370074,-1.64809263740068,-1.74305404257321,-2.26910051699338,-1.91492329660938,-1.87280555607278,-2.18314656684902,-2.31145077101173,-1.86363288537206,-2.69929877888359,-1.98016758104857,-2.69597587610708,-2.04529907044938,-2.14015291961588,-2.53796302060234
"BARX1",1.84099186763126,1.57027261948111,0.566877099598884,0.717748807783546,0.0730441881761681,0.36950984989464,1.01176200464214,1.41083090899559,1.46819749144073,-0.0639711475170528,1.23676184899647,0.45554165662765,0.804162260069291,1.15163197102274,0.760537596415491,1.24625835069793,1.01032135478333,0.978961396114281,0.182478428283457,0.324311440427771,1.77145587162637,0.759839435428777,1.59880048541275,0.983948987121406,0.649252079430686
"BARX2",1.57112135790181,1.14099719869338,0.944854385791539,0.968788099169123,0.057636819072966,0.185962642398719,0.823281443743142,1.17042910156088,1.26449259607988,0.165518388946849,1.03579067068975,-0.365080137803316,0.884476854482302,0.431508295380236,0.261410529468211,0.423759015344154,1.20355241508093,1.13986781414386,0.364207080066019,0.262860091590043,1.36056567051876,0.365885371866212,1.11157820035698,0.754147516356049,0.662945531365919
