"Bridge"	"connecting Chromaffin cells"	"Neuroblasts"	"cycling Neuroblasts"	"SCPs"	"cycling SCPs"	"Chromaffin"
"MAGI2"	3.82403431317145	6.13152240564218	6.79333411286647	5.07598310772847	2.04836706485994	2.5015749764608	6.91811824700413
"RGS7"	0.267567364918507	1.18420950686968	2.4751578057926	2.17509917375811	0.136486127963571	0.127025980943409	0.680744072223069
"KIF26B"	0.270228874320372	2.14537238037943	2.5444884716499	1.87104348777319	0.332513406927826	0.616222790733361	0.780473447809303
"SYN3"	0.177813375855282	0.312713772747627	2.98352213637163	1.87959877198594	0.415252086821418	0.657540065792375	0.191243821023795
"LRP4"	1.31444918843945	1.27595772461213	1.22324544024454	1.12792522024375	0.969672750690274	2.01016722331792	0.848354554633107
"CADM2"	10.3414408845736	8.14983030644026	6.58163295648972	8.70335656674493	2.34206706873039	2.64903322509507	4.98702202081278
"TANC2"	2.03342748964115	6.97407206011263	5.40129246962655	5.92563601317504	1.01576919556134	1.57370613222362	6.71741634056399
"CREB5"	0.165031631379605	0.389416369213706	1.66389259259281	1.95886846793141	1.63046810855651	1.89502861627889	0.163416154581688
"CACNA1C"	0.274053144036602	1.28717590993353	0.83539234938638	1.00565558848484	0.135089865516827	0.12759558651201	2.14404887515328
"SYNPO2"	0.0511877947996003	0.184239077823881	2.52586482354077	2.00577568662147	0.0879792256078088	0.111171526159513	0.123873650927552
"HS6ST2"	0.103427678995149	0.820081223858771	1.04034785585129	1.11642012803987	0.469506105848636	0.85732133269789	1.09602583365968
"SEZ6L"	0.376035089997432	1.29169372792876	1.89340830391167	1.73549143720723	0.111660092495468	0.0352292382499716	1.33867435104588
"SPOCK3"	1.96522146967286	0.487838647234183	0.406322770662285	0.575766311010116	0.0728639218993209	0.0970016794818943	0.798256190193221
"RP11-125B21.2"	1.25823417492166	1.10708330225586	0.302145183386078	0.466318776439988	0.0845341148427222	0.13586422552708	0.6996135317194
"PTPRN2"	0.448113243333896	0.973846330452285	1.55509306087001	1.58125333544604	0.152002326247971	0.219908516165689	2.78712548958177
"NXPH1"	0.0943353634342157	0.680783757322022	1.71891756496451	2.37520951126173	0.0729643909774737	0.00526930970156789	0.441354271917577
"TMEM132D"	0.232074848233117	0.46386479983882	2.0048917680502	1.89052940969089	0.147190469078224	0.27185046059295	1.45643860438512
"EBF1"	0.166138218348555	0.308437243056446	2.39927175377741	1.71715143514305	0.17263553873847	0.268950470693942	0.189972939068181
"XYLT1"	0.639046459226719	2.79360259600815	1.41078221746502	1.65168318694294	1.37593665136488	1.85555442092444	4.96414609929861
"TMOD1"	0.0920006229883201	0.240640042297067	0.991899031308524	0.883836220197246	0.0716616472606348	0.0922465647655432	0.367505736577375
"PTPRR"	2.37958129478702	0.910456128719452	0.921869136760393	0.888348654570852	0.0398770248235856	0.122487052778304	0.391971693130462
"GRID1"	0.374960120395941	1.40923429760956	1.98464001515303	1.761420325833	0.114768571347458	0.139267835965552	0.857264435445111
"ZNF385D"	1.22154081852765	0.546881611199939	0.0815085978619688	0.228394855290652	0.139355403751915	0.265897771386532	0.221767677510983
"NCAM2"	8.05026426261264	1.45605688812119	2.09278102167141	1.65941421263427	5.40118664058852	6.19552615752771	3.04292637858214
"SLCO3A1"	0.352818435498588	0.703680581819337	1.43123341761994	1.32122396914599	0.44481062821878	0.907209076394499	0.900877027163854
"TMEM178B"	1.40067374091558	3.00793268229061	2.30804533629029	2.30555553612555	3.6342110719509	5.0163810863636	2.0071725461222
"CHRNA7"	0.874597760929189	1.55688330677074	2.25330071210855	1.61467016104499	0.244911687738875	0.27862805171866	2.14212119947314
"SYTL4"	0.0752345193883981	0.359122357239964	1.02829876527542	0.983726921704216	0.0641342234338351	0.050905680218687	0.516503918541795
"EGFLAM"	0.223457741406655	1.33431331446035	0.160181956309476	0.146653666408137	1.3344927368214	2.34077650654035	1.62925086049571
"AFF3"	0.19713766378914	0.633287765780356	1.08799086973052	1.06975532147361	1.59953090875964	2.77232605034854	0.416034674418369
"EPHA6"	0.0826195164977835	0.209420032401785	1.3830265025424	1.04608466080813	0.125808571902533	0.156909382247662	0.413869560089968
"RORA"	3.54600553863975	3.67247619585522	7.61244399811837	8.3342770026965	3.10455175901425	4.81905706909958	3.33062095381069
"KCNH1"	0.548163735856177	1.86881562353481	2.25615747330085	2.08358233134313	0.150419130622574	0.316669224269275	1.0159554959467
"SDK1"	0.416237186058869	0.631078994759969	1.43980740978123	2.20340941636908	0.624784354380647	2.26332614121246	1.60165874284066
"RIMS2"	1.98906905881836	2.58430905940394	3.38033096746167	4.22011009118123	0.503171659700758	0.498541965537792	3.44108819194335
"STMN2"	0.384949838336488	1.18111346599041	2.33520533400724	2.20834936410656	0.223363797716493	0.333276650978546	0.508838703133084
"SLC18A2"	0.0831577417495899	0.97173449280737	0.326030407403866	0.311545347047014	0.0555771690309509	0.0929129334600797	2.18940834536277
"SCARB1"	0.550490420909213	0.918195926895716	0.78552099607287	0.799449355612709	0.693585950833318	1.03150674143938	1.41479046058705
"CPNE8"	0.296801425807932	1.18446785907294	1.32159208481863	1.36182655399375	0.127144378586348	0.243428215766531	1.48368775730956
"GAP43"	0.0587103895295934	0.122184646781374	0.884728203472496	0.689269333968354	0.0786922646443128	0.0791448724348433	0.245692456656518
"GRIA1"	0.155612842684789	0.572787251407793	1.02762382492105	0.480864261534532	0.0317774258563652	0.0266287240068102	0.488567957888828
"CDH4"	0.252037744700556	0.834278493306882	0.753178124236015	0.89809247961332	0.391197995243309	0.828572494532294	0.896937509950931
