NAME	Neuroendocrine.cells	NK.cells	T.cells	Myeloid.cells	B.cells	Fibroblasts	Stromal.other.cells	RBCs.cells	Schwann.cells	Plasma.cells	pDC.cells	Endothelial.cells
EID1	445.675342234109	0.861937889210058	15.9425101058543	5.31194280559687	1.64369550965639	4.30968944605029	0.146997159400165	0.227177428163891	1.53010679557444	0.113588714081946	0.347447831309481	1.77064760186562
SECISBP2L	26.4060351795206	0.247222495354823	1.42988145961979	0.815166065764551	0.481081612582358	0.354129520373125	0.0200450671909316	0.0133633781272877	0.260585873482111	0.00668168906364386	0.0400901343818632	0.247222495354823
RN7SL577P	0.0534535125091509	0	0	0	0	0	0	0	0	0	0	0
COPS2	79.9731364027534	0.240540806291179	3.34752622088558	1.44324483774707	0.367492898500412	0.654805528237099	0.0601352015727948	0.0133633781272877	0.146997159400165	0.0133633781272877	0.0668168906364386	0.180405604718384
GALK2	20.7199177863596	0.0601352015727948	1.32965612366513	0.541216814155153	0.113588714081946	0.213814050036604	0.00668168906364386	0.0200450671909316	0.140315470336521	0.0200450671909316	0.0267267562545755	0.100225335954658
NDUFAF4P1	0.213814050036604	0	0.0133633781272877	0	0.00668168906364386	0	0	0	0	0	0	0
FAM227B	8.59933382490965	0.0133633781272877	0.434309789136851	0.0801802687637264	0.0801802687637264	0.0601352015727948	0.00668168906364386	0	0.0133633781272877	0.00668168906364386	0	0.0400901343818632
FGF7	1.50338003931987	0.00668168906364386	0.126952092209233	0.0133633781272877	0.0133633781272877	0.821847754828195	0.00668168906364386	0	0.0200450671909316	0.00668168906364386	0	0
DTWD1	28.9183502674506	0.0601352015727948	1.22943078771047	0.534535125091509	0.167042226591097	0.434309789136851	0.0133633781272877	0.00668168906364386	0.180405604718384	0.0334084453182193	0.0534535125091509	0.0801802687637264
ATP8B4	0.788439309509976	0.20713236097296	0.200450671909316	0.841892822019127	0.00668168906364386	0.0133633781272877	0.0267267562545755	0	0	0	0	0
SLC27A2	4.70390910080528	0.00668168906364386	0.227177428163891	0.0200450671909316	0.00668168906364386	0	0	0	0	0	0	0
HDC	0.146997159400165	0.0133633781272877	0.0334084453182193	0.00668168906364386	0	0	0.126952092209233	0	0	0	0	0
GABPB1	21.0606839286055	0.247222495354823	1.81741942531113	0.46771823445507	0.247222495354823	0.17372391565474	0.0200450671909316	0	0.0668168906364386	0.00668168906364386	0.0133633781272877	0.126952092209233
GABPB1-AS1	129.938807220682	0.681532284491674	7.16945236528986	0.728304107937181	1.84414618156571	0.434309789136851	0.0334084453182193	0.046771823445507	0.20713236097296	0.0734985797000825	0.133633781272877	0.113588714081946
USP8	39.4286471645624	0.314039385991262	3.9154697912953	1.80405604718384	0.948799847037428	0.547898503218797	0.0334084453182193	0.0133633781272877	0.287312629736686	0.0200450671909316	0.153678848463809	0.213814050036604
USP50	0.614715393855235	0	0.0133633781272877	0.0334084453182193	0.00668168906364386	0.0200450671909316	0	0	0	0	0	0.00668168906364386
TRPM7	15.8289213917723	0.273949251609398	2.15150387849332	0.654805528237099	0.340766142245837	0.213814050036604	0.0601352015727948	0.00668168906364386	0.133633781272877	0.0133633781272877	0.0200450671909316	0.0935436468910141
SPPL2A	17.7732929092927	0.394219654754988	3.08025865833982	2.88648967549415	0.534535125091509	0.70825904074625	0.0133633781272877	0	0.447673167264139	0.0200450671909316	0.0801802687637263	0.307357696927618
AP4E1	6.44114825735269	0.0200450671909316	0.50112667977329	0.260585873482111	0.0801802687637264	0.0601352015727948	0	0	0.0200450671909316	0	0.0133633781272877	0.0935436468910141
DCAF13P3	0.0400901343818632	0	0	0	0	0	0	0	0	0	0	0
TNFAIP8L3	0.187087293782028	0.00668168906364386	0.0133633781272877	0.0200450671909316	0.00668168906364386	0.0601352015727948	0	0	0	0	0	0.0200450671909316
