NAME	Neuroendocrine.cells	NK.cells	T.cells	Myeloid.cells	B.cells	Fibroblasts	Stromal.other.cells	RBCs.cells	Schwann.cells	Plasma.cells	pDC.cells	Endothelial.cells
ANXA2	1.64610587161545	0.213302752293578	0.247756933115824	1.949358541526	0.121673003802281	2.50561797752809	0.25	0.0666666666666667	9.7047619047619	0.217391304347826	0.294871794871795	3.95555555555556
IL1RAPL2	0.0192044417401886	0	0.000611745513866232	0.00270087778528022	0	0.00561797752808989	0.0441176470588235	0	0.638095238095238	0	0	0.00740740740740741
ABCA8	0.00125494371767569	0	0.000611745513866232	0.00135043889264011	0	0.342696629213483	0.0294117647058824	0	0.571428571428571	0	0	0.00740740740740741
PMP2	0.000114085792515972	0.00229357798165138	0.000407830342577488	0	0	0	0	0	0.533333333333333	0	0	0
STARD13	0.0100775783389109	0	0.000203915171288744	0.0573936529372046	0	0.162921348314607	0	0	0.60952380952381	0	0	0.237037037037037
COL7A1	0.0316397931244296	0	0.00101957585644372	0.00742741390952059	0.00126742712294043	0.00842696629213483	0	0	0.676190476190476	0	0	0.0148148148148148
COL9A3	0.00167325829023426	0	0.000203915171288744	0.00675219446320054	0.026615969581749	0.00561797752808989	0	0	0.533333333333333	0.0869565217391304	0.0256410256410256	0.00740740740740741
COL15A1	0.00193945847277152	0.00458715596330275	0.000203915171288744	0.00337609723160027	0.00126742712294043	0.0814606741573034	0	0	0.6	0	0	3.1037037037037
IL1RAP	0.00152114390021296	0.00688073394495413	0.00672920065252855	0.0614449696151249	0.00887198986058302	0.050561797752809	0	0	0.542857142857143	0	0.0256410256410256	0.0222222222222222
HSPG2	0.00646486157590508	0	0.00305872756933116	0.00675219446320054	0.00380228136882129	0.345505617977528	0.0147058823529412	0	0.704761904761905	0	0	5.94814814814815
ITGA6	0.0165044113173106	0.0275229357798165	0.0670880913539967	0.0216070222822417	0.00253485424588086	0.00561797752808989	0	0	0.676190476190476	0.0434782608695652	0.0128205128205128	1.2
RHOC	0.217751749315485	0.291284403669725	0.116435562805873	0.225523295070898	0.0468948035487959	1.11516853932584	0.102941176470588	0.0333333333333333	1.80952380952381	0.0434782608695652	0.243589743589744	1.94074074074074
PALM2AKAP2	0.0433526011560694	0.018348623853211	0.0177406199021207	0.0398379473328832	0.0570342205323194	0.387640449438202	0.0147058823529412	0.0333333333333333	0.780952380952381	0.0434782608695652	0.0769230769230769	1.00740740740741
MMP14	0.00197748707027685	0	0.000407830342577488	0.173531397704254	0.00506970849176172	0.258426966292135	0	0	0.571428571428571	0	0	0.296296296296296
MYO10	0.00779586248859142	0.00688073394495413	0.00387438825448613	0.0276839972991222	0.00126742712294043	0.0393258426966292	0.0441176470588235	0	0.552380952380952	0	0	0.607407407407407
SLC35F1	0.0391314268329784	0	0.00142740619902121	0.00675219446320054	0.00380228136882129	0.0393258426966292	0.0147058823529412	0	0.666666666666667	0	0	0.00740740740740741
TNS3	0.0131578947368421	0	0.00367047308319739	0.174206617150574	0.0114068441064639	0.317415730337079	0	0	0.60952380952381	0.0869565217391304	0.0384615384615385	0.318518518518519
KRT17	0.0349102525098874	0.00229357798165138	0.00163132137030995	0.00472653612424038	0	0.0842696629213483	0.0147058823529412	0	0.638095238095238	0	0	0
KCNS3	0.0217523577730453	0.00229357798165138	0.00142740619902121	0.00202565833896016	0.00126742712294043	0.109550561797753	0	0	0.580952380952381	0	0	0.0222222222222222
PTN	0.403445390933982	0.0114678899082569	0.00999184339314845	0.0182309250506415	0.0139416983523447	0.47752808988764	0.0147058823529412	0.0166666666666667	2.27619047619048	0	0	0.0666666666666667
VCL	0.0861728019470642	0.0412844036697248	0.0181484502446982	0.0513166779203241	0.0329531051964512	0.612359550561798	0.0588235294117647	0.05	0.923809523809524	0	0.153846153846154	0.274074074074074
RAB32	0.0146410100395497	0.0137614678899083	0.00591353996737357	0.594868332207968	0.00380228136882129	0.24438202247191	0.0588235294117647	0	0.704761904761905	0	0.0256410256410256	0.237037037037037
CDC42EP5	0.00129297231518102	0.00229357798165138	0.000407830342577488	0.00135043889264011	0	0.207865168539326	0	0	0.485714285714286	0	0	0.481481481481481
ALDH1A3	0.00262397322786736	0	0	0	0	0.210674157303371	0	0	0.476190476190476	0	0	0
LRRCC1	0.0510724064496501	0.0114678899082569	0.0142740619902121	0.0290344361917623	0.0101394169835234	0.106741573033708	0.0147058823529412	0	0.685714285714286	0.0434782608695652	0.0512820512820513	0.0222222222222222
FRMD4A	0.225699726194098	0	0.0144779771615008	0.232275489534099	0.0101394169835234	0.25561797752809	0.0735294117647059	0.0166666666666667	1.46666666666667	0	0.0128205128205128	0.422222222222222
SEMA3C	0.0333510800121692	0	0.00163132137030995	0.0344361917623228	0	0.320224719101124	0.0147058823529412	0	0.60952380952381	0	0.0512820512820513	0.00740740740740741
CLIC4	0.103209613629449	0.00688073394495413	0.00570962479608483	0.0992572586090479	0.0925221799746515	0.544943820224719	0.0441176470588235	0	0.952380952380952	0.347826086956522	0.0384615384615385	0.837037037037037
XKR4	0.0553316093702464	0.00458715596330275	0.00407830342577488	0.00742741390952059	0.00506970849176172	0.0842696629213483	0.0147058823529412	0	0.676190476190476	0	0.0128205128205128	0.037037037037037
MDFI	0.0009507149376331	0	0.000203915171288744	0.000675219446320054	0	0.0786516853932584	0	0	0.447619047619048	0	0	0.185185185185185
SPATA6	0.0687557042896258	0.00229357798165138	0.00285481239804241	0.0297096556380824	0.00760456273764259	0.129213483146067	0	0	0.733333333333333	0	0	0.155555555555556
